10 | DiagnosticSessionControl | 01 | DefaultSession | 50
10 | DiagnosticSessionControl | 02 | Programming session | 50
10 | DiagnosticSessionControl | 03 | Extended Session | 50
11 | Ecu Reset | 01 | Hard Reset | 51
11 | Ecu Reset | 03 | Soft Reset | 51
27 | SecurityAccess - Request seed | 01 | RequestSeed | 67
27 | SecurityAccess - Request seed | 02 | SendKey | 67
27 | SecurityAccess - Request seed | 11 | equestSeed(ASK) | 67
27 | SecurityAccess - Request seed | 12 | SendKey(ASK) | 67
28 | CommunicationControl | 00 | EnableRxAndEnableTx | 68
28 | CommunicationControl | 01 | EnableRxAndDisableTx | 68
28 | CommunicationControl | 02 | DisableRxAndEnableTx | 68
28 | CommunicationControl | 03 | DisableRxAndDisableTx | 68
22 | Read Data By Identifier | D005 | RDBI - Logic Inputs Status | 62
22 | Read Data By Identifier | D006 | RDBI - Analog Inputs/Outputs Status | 62
22 | Read Data By Identifier | D007 | RDBI - Logic Outputs Status | 62
22 | Read Data By Identifier | D008 | SMK Miscellaneous Function Status Byte Data | 62
22 | Read Data By Identifier | D009 | SMK Miscellaneous Function Status Bit Data | 62
22 | Read Data By Identifier | D00A | Access Control Status bit frame | 62
22 | Read Data By Identifier | D00B | Access Control Status byte frame | 62
22 | Read Data By Identifier | D00C | RDBI-SMK Configuration Bit Data | 62
22 | Read Data By Identifier | D0A1 | SMK Sleep State Monitoring (Model) Byte Data | 62
22 | Read Data By Identifier | D0A2 | SMK Sleep State Monitoring (Non-Model)  | 62
22 | Read Data By Identifier | ED96 |  Byte Data SMK Sleep State Monitoring (Model) | 62
22 | Read Data By Identifier | ED97 | SMK Sleep State Monitoring (Non-Model) | 62
22 | Read Data By Identifier | D0B1 | SMK Sleep State Log (Model) Byte Data  | 62
22 | Read Data By Identifier | D0B2 | SMK Sleep State Log (Non-Model) Byte Data  | 62
22 | Read Data By Identifier | D0FA | RDBI - R&D RF Fix code (Leamt FOB ID) | 62
22 | Read Data By Identifier | D0FB | RDBI - R&D RF Base code (Rolling Code) | 62
22 | Read Data By Identifier | F1EF |  RXSWINDataldentifier | 62
22 | Read Data By Identifier | 01 | xxx | 62
22 | Read Data By Identifier | F100 | (B-CAN Ver)BodyCANDataBase Version NumBErDataldentifier  | 62
22 | Read Data By Identifier | F101 | (C-CAN Ver)ChassisCANData Base Version NumBErDataldentifier  | 62
22 | Read Data By Identifier | F120 | BDC Platform Software Version Number | 62
22 | Read Data By Identifier | F187 | (Part Num) Vehicle Manufacturer Spare Part Num BErDataIdentifier Read | 62
22 | Read Data By Identifier | F188 | Leamt FOBPart Number (HKMC Part Number)  | 62
22 | Read Data By Identifier | F18B | ECUManufacturingDate | 62
22 | Read Data By Identifier | F18C | ECUSerialNumberDataldentifier | 62
22 | Read Data By Identifier | F193 | (HKMC IBU H/W Verion) System Supplier ECU Hardware Version Number  | 62
22 | Read Data By Identifier | F191 | System Supplier ECU Hardware Version Number (HKMC H/W Version)  | 62
22 | Read Data By Identifier | F195 | BDC Not Supported - System SupplierECUSoftware Version Number  | 62
22 | Read Data By Identifier | F197 | System NameOrEngine Type Dataldentifier (ECUPartName) | 62
22 | Read Data By Identifier | F1A0 | Software Version HKMCVehicle Manufacture Dataldentifier | 62
22 | Read Data By Identifier | F1A1 | (LOT Track)ECUSupplierCode DataIdentifier | 62
22 | Read Data By Identifier | F1B1 | ECUSoftware UNIT BDC Version Dataldentifier (ECU Manufacturer BDC S/W Ver) | 62
22 | Read Data By Identifier | F1AA  | Vehicle Manufacturer SMKSoftware Version Number DataIdentifier  | 62
22 | Read Data By Identifier | F1AC | Vehicle Manufacturer BCM Software Version NumberDataldentifier  | 62
22 | Read Data By Identifier | F1AB | Vehicle Manufacturer TPMS Software Version NumberDataIdentifier | 62
22 | Read Data By Identifier | F1BB | SIRENEcuInfoDataldentifier | 62
22 | Read Data By Identifier | F1BC | UIPEcuInfoDataldentifier | 62
22 | Read Data By Identifier | 1234 | xxx | 62
22 | Read Data By Identifier | 12A7 | IMMO Current Data | 62
22 | Read Data By Identifier | C002 | TPMS Sensor IDs Record Local Identifier | 62
22 | Read Data By Identifier | C012 | TPMS Variant Code Record Local Identifier | 62
22 | Read Data By Identifier | 03 | xxx | 62
22 | Read Data By Identifier | D202 | BDC Calibration Read | 62
22 | Read Data By Identifier | D002 | SMK Calibration | 62
22 | Read Data By Identifier | D003 | SMK RDBI OptionRead | 62
22 | Read Data By Identifier | F1DD | S/W Version Dataidentifier | 62
22 | Read Data By Identifier | C013 | TPMS Software Version Record Local Identifier | 62
22 | Read Data By Identifier | F1DE | Sub SW Version | 62
22 | Read Data By Identifier | F1DF | RFIC SW Version | 62
22 | Read Data By Identifier | 4111 | xxx | 62
22 | Read Data By Identifier | B001 | User Option Record Local Identifier - DID #B001 hex  | 62
22 | Read Data By Identifier | B002 | RKE Data Record Local Identifier - DID #B002 hex  | 62
22 | Read Data By Identifier | B003 | Input Output Record Local Identifier - DID #B003 hex  | 62
22 | Read Data By Identifier | B004 | Input Output Record Local Identifier - DID #B004 hex  | 62
22 | Read Data By Identifier | B005 | Input Output Record Local Identifier - DID #B005 hex  | 62
22 | Read Data By Identifier | B006 | Input Output Record Local Identifier - DID #B006 hex  | 62
22 | Read Data By Identifier | B007 | Input Output Record Local Identifier - DID #B007 hex  | 62
22 | Read Data By Identifier | B008 | Input Output Record Local Identifier - DID #B008 hex  | 62
22 | Read Data By Identifier | B009 | Input Output Record Local Identifier - DID #B009 hex  | 62
22 | Read Data By Identifier | B00A | Input Output Record Local Identifier - DID #B00A hex  | 62
22 | Read Data By Identifier | B00B | Input Output Record Local Identifier - DID #BOOB hex | 62
22 | Read Data By Identifier | B00C | Input Output Record Local Identifier - DID #B00C hex | 62
22 | Read Data By Identifier | B00D | Input Output Record Local Identifier - DID #B00D hex | 62
22 | Read Data By Identifier | B00E | Input Output Record Local Identifier - DID #B00E hex | 62
22 | Read Data By Identifier | B00F | Input Output Record Local Identifier - DID #B00F hex | 62
22 | Read Data By Identifier | B012 | Input Output Record Local Identifier - DID #B012 hex | 62
22 | Read Data By Identifier | B013 | Input Output Record Local Identifier - DID #B013 hex | 62
22 | Read Data By Identifier | BF01 | RDBI- PAS Sensor Data Local Identifier | 62
22 | Read Data By Identifier | BF02 | RDBI- Read DDPROM Data Local Identifier | 62
2E | Write Data By Identifier | F187  | (Part Num)VehicleManufacturerSparePartNumBErDataIdentifier Write | 6E
2E | Write Data By Identifier | F18B | ECUManufacturingDate Write | 6E
2E | Write Data By Identifier | F18C  | ECUSerialNumberDataldentifier Write | 6E
2E | Write Data By Identifier | F191 | System Supplier ECU Hardware Version Number (HKMC H/W Version)  Write | 6E
2E | Write Data By Identifier |  F193  | (HKMC IBU H/W Verion) System Supplier ECU Hardware Version Number  Write | 6E
31 | Routine Control | 01 B1 11 | Start SMK Teaching Start | 71
31 | Routine Control | 01 B1 12 | Enter PIN code Start | 71
31 | Routine Control | 01 B1 13 | Start SMK Components Learning Procedure Start  | 71
31 | Routine Control | 01 B1 17 | Request teaching 1st SMK FOB key Start  | 71
31 | Routine Control | 01 B1 18 | Request teaching 2nd SMK FOB key Start  | 71
31 | Routine Control | 01 B1 19 | Request teaching 3rd SMK FOB key Start  | 71
31 | Routine Control | 01 B1 1B | Request teaching 4th SMK FOB key Start | 71
31 | Routine Control | 01 B1 14 | EMS NEUTRALIZATION Start | 71
31 | Routine Control | 01 B1 15 | SMK NEUTRALIZATION Start | 71
31 | Routine Control | 01 B1 1C | SCU NEUTRALIZATION Start | 71
31 | Routine Control | 01 B1 16 | ESCL NEUTRALIZATION Start | 71
31 | Routine Control | 01 B1 1A | Read FOB Customer Part Number Start  | 71
31 | Routine Control | 01 B1 91 | RSSI measurement check Start | 71
31 | Routine Control | 01 01 00 | xxx | 71
31 | Routine Control | 01 12A1 | Keyless Entry Code Save Start | 71
31 | Routine Control | 02 12 A1 | RKE Code Save Stop | 71
31 | Routine Control | 03 12 A1 | Read Saved RKE Number | 71
31 | Routine Control | 01 01 03 | IMMO -start | 71
31 | Routine Control | 01 12 A3 | Start User Password Teaching Start | 71
31 | Routine Control | 01 12 A6 | Enter Old User Password Start | 71
31 | Routine Control | 01 12A4 | Enter New User Password Start | 71
31 | Routine Control | 01 12 A5 | Request User Password Teaching Start  | 71
31 | Routine Control | 01 12 A8 | Start Limp Home for Immo Start  | 71
31 | Routine Control | 01 12A9 | Start TP Teaching Start | 71
